group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simdpath_wikidata_person,stack-based,wikidata_person,,,57454000.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,57997000.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,58460600.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,58351100.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,58480700.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,58491900.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,58459300.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,58515000.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,58634300.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,58571700.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,58513800.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,58422700.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,58555200.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,58549700.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,58503000.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,58494400.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,58505700.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,58516900.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,58492900.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,58517600.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,58509500.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,58531500.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,58450900.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,58407100.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,58543400.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,58554900.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,58443800.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,58514200.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,58524700.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,58495300.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,58518900.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,58446100.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,58506100.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,58400500.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,58411200.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,58538600.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,58488300.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,58306200.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,58311800.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,58377800.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,58295700.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,58261900.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,58249500.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,58315600.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,58317600.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,58407800.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,58373500.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,58279800.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,58300800.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,58355800.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,58357500.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,58426900.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,58389800.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,58421300.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,58383300.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,58200200.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,58439100.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,58408000.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,58391000.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,58420000.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,58410600.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,58411500.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,58301700.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,58307800.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,58433800.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,58287600.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,58314300.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,58296300.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,58378500.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,58338600.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,58433600.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,58415100.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,58328700.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,58386700.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,58564200.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,58576000.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,58521900.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,58463400.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,58517300.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,58551200.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,58500800.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,58569400.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,58611500.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,58571300.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,58541500.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,58341800.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,58571500.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,58586100.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,58593000.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,58578100.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,58584600.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,58606100.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,58398400.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,58511900.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,58686000.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,58445400.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,58640500.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,58546500.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,58495800.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,58436500.0,ns,4
